dev_name,ref_units,conv_date,status,year,hud_name,hud_code,hud_units,pct_occupied,unit_delta,unit_ok,match_score,zip,address
1010 EAST 178TH STREET,220,,Under Construction,2015,1010 E. 178TH ST.,NY005011330,218,100.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2016,1010 E. 178TH ST.,NY005011330,218,100.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2017,1010 E. 178TH ST.,NY005011330,218,99.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2018,1010 E. 178TH ST.,NY005011330,218,98.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2019,1010 E. 178TH ST.,NY005011330,218,97.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2020,1010 E. 178TH ST.,NY005011330,218,100.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2021,1010 E. 178TH ST.,NY005011330,218,98.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2022,1010 E. 178TH ST.,NY005011330,218,98.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2023,1010 E. 178TH ST.,NY005011330,218,94.0,-2,True,100.0,10460,1010 E 178th St
1010 EAST 178TH STREET,220,,Under Construction,2024,1010 E. 178TH ST.,NY005011330,218,92.0,-2,True,100.0,10460,1010 E 178th St
BAY VIEW,1610,2025-12-23,Under Construction,2015,BAY VIEW,NY005020920,1303,99.0,-307,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2016,BAY VIEW,NY005020920,1303,97.0,-307,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2017,BAY VIEW,NY005020920,1303,97.0,-307,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2018,BAY VIEW,NY005020920,1269,99.0,-341,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2019,BAY VIEW,NY005020920,1269,99.0,-341,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2020,BAY VIEW,NY005020920,1269,99.0,-341,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2021,BAY VIEW,NY005020920,1269,98.0,-341,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2022,BAY VIEW,NY005020920,1268,97.0,-342,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2023,BAY VIEW,NY005020920,1268,96.0,-342,True,100.0,11236,5995 Shore Pkwy
BAY VIEW,1610,2025-12-23,Under Construction,2024,BAY VIEW,NY005020920,1268,94.0,-342,True,100.0,11236,5995 Shore Pkwy
BAYCHESTER,441,,Construction Complete,2015,BAYCHESTER,NY005021260,342,92.0,-99,True,100.0,10466,1900 Schieffelin Ave
BAYCHESTER,441,,Construction Complete,2016,BAYCHESTER,NY005021260,342,88.0,-99,True,100.0,10466,1900 Schieffelin Ave
BAYCHESTER,441,,Construction Complete,2017,BAYCHESTER,NY005021260,291,52.0,-150,True,100.0,10466,1870 Schieffelin Ave
BELMONT-SUTTER AREA,72,,Under Construction,2015,BELMONT SUTTER AREA,NY005010460,72,99.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2016,BELMONT SUTTER AREA,NY005010460,72,99.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2017,BELMONT SUTTER AREA,NY005010460,72,99.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2018,BELMONT SUTTER AREA,NY005010460,72,100.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2019,BELMONT SUTTER AREA,NY005010460,72,100.0,0,True,100.0,11207,455 Barbey St
BELMONT-SUTTER AREA,72,,Under Construction,2020,BELMONT SUTTER AREA,NY005010460,72,99.0,0,True,100.0,11207,455 Barbey St
BETANCES I,309,,Construction Complete,2015,DR. RAMON E. BETANCES I,NY005012110,917,98.0,608,False,100.0,10454,400 Brook Ave
BETANCES I,309,,Construction Complete,2016,DR. RAMON E. BETANCES I,NY005012110,917,97.0,608,False,100.0,10454,400 Brook Ave
BETANCES I,309,,Construction Complete,2017,DR. RAMON E. BETANCES I,NY005012110,917,97.0,608,False,100.0,10454,400 Brook Ave
BOSTON SECOR,538,,Under Construction,2015,BOSTON-SECOR,NY005011380,538,99.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2016,BOSTON-SECOR,NY005011380,538,100.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2017,BOSTON-SECOR,NY005011380,538,99.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2018,BOSTON-SECOR,NY005011380,538,99.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2019,BOSTON-SECOR,NY005011380,538,98.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2020,BOSTON-SECOR,NY005011380,538,99.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2021,BOSTON-SECOR,NY005011380,538,97.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2022,BOSTON-SECOR,NY005011380,538,97.0,0,True,100.0,10475,3555 Bivona St
BOSTON SECOR,538,,Under Construction,2023,BOSTON-SECOR,NY005011380,538,95.0,0,True,100.0,10475,3555 Bivona St
BUSHWICK II (GROUPS A & C),300,,Construction Complete,2015,HOPE GARDENS,NY005012470,1314,100.0,1014,False,100.0,11221,330 Wilson Ave
BUSHWICK II (GROUPS A & C),300,,Construction Complete,2016,HOPE GARDENS,NY005012470,1314,99.0,1014,False,100.0,11221,330 Wilson Ave
BUSHWICK II (GROUPS A & C),300,,Construction Complete,2017,HOPE GARDENS,NY005012470,1314,98.0,1014,False,100.0,11221,330 Wilson Ave
BUSHWICK II (GROUPS A & C),300,,Construction Complete,2018,HOPE GARDENS,NY005012470,1314,99.0,1014,False,100.0,11221,330 Wilson Ave
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2015,PEDRO A. CAMPOS PLAZA II,NY005012570,224,100.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2016,PEDRO A. CAMPOS PLAZA II,NY005012570,224,100.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2017,PEDRO A. CAMPOS PLAZA II,NY005012570,224,99.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2018,PEDRO A. CAMPOS PLAZA II,NY005012570,224,100.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2019,PEDRO A. CAMPOS PLAZA II,NY005012570,224,99.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2020,PEDRO A. CAMPOS PLAZA II,NY005012570,224,100.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2021,PEDRO A. CAMPOS PLAZA II,NY005012570,224,99.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2022,PEDRO A. CAMPOS PLAZA II,NY005012570,224,97.0,0,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2023,PEDRO A. CAMPOS PLAZA II,NY005012570,223,97.0,-1,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2024,PEDRO A. CAMPOS PLAZA II,NY005012570,223,96.0,-1,True,83.3,10009,612 E 14th St
CAMPOS PLAZA II,224,2026-02-05,Under Construction,2025,PEDRO A. CAMPOS PLAZA II,NY005012570,224,94.0,0,True,83.3,10009,612 E 14th St
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2015,UNION AVE/E 163RD SITE 5,NY005013420,909,98.0,843,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2016,UNION AVE/E 163RD SITE 5,NY005013420,912,97.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2017,UNION AVE/E 163RD SITE 5,NY005013420,912,98.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2018,UNION AVE/E 163RD SITE 5,NY005013420,912,98.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2019,UNION AVE/E 163RD SITE 5,NY005013420,912,98.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2020,UNION AVE/E 163RD SITE 5,NY005013420,912,98.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2021,UNION AVE/E 163RD SITE 5,NY005013420,912,97.0,846,False,100.0,10459,950 Union Ave
EAGLE AVENUE-EAST 163RD STREET,66,,Under Construction,2022,UNION AVE/E 163RD SITE 5,NY005013420,912,96.0,846,False,100.0,10459,950 Union Ave
EASTCHESTER GARDENS,877,,Under Construction,2015,EASTCHESTER GARDENS,NY005010340,1054,99.0,177,True,100.0,10461,3033 Middletown Rd
EASTCHESTER GARDENS,877,,Under Construction,2016,EASTCHESTER GARDENS,NY005010340,1054,99.0,177,True,100.0,10461,3033 Middletown Rd
EASTCHESTER GARDENS,877,,Under Construction,2017,EASTCHESTER GARDENS,NY005010340,1054,99.0,177,True,100.0,10461,3033 Middletown Rd
EASTCHESTER GARDENS,877,,Under Construction,2018,EASTCHESTER GARDENS,NY005010340,1054,99.0,177,True,100.0,10461,3033 Middletown Rd
EASTCHESTER GARDENS,877,,Under Construction,2019,EASTCHESTER GARDENS,NY005010340,1054,98.0,177,True,100.0,10461,3033 Middletown Rd
EASTCHESTER GARDENS,877,,Under Construction,2020,EASTCHESTER GARDENS,NY005010340,1054,99.0,177,True,100.0,10461,3033 Middletown Rd
EASTCHESTER GARDENS,877,,Under Construction,2021,EASTCHESTER GARDENS,NY005010340,1054,97.0,177,True,100.0,10461,3033 Middletown Rd
EASTCHESTER GARDENS,877,,Under Construction,2022,EASTCHESTER GARDENS,NY005010340,1054,95.0,177,True,100.0,10461,3033 Middletown Rd
EASTCHESTER GARDENS,877,,Under Construction,2023,EASTCHESTER GARDENS,NY005010340,1054,93.0,177,True,100.0,10461,3033 Middletown Rd
EASTCHESTER GARDENS,877,,Under Construction,2024,EASTCHESTER GARDENS,NY005010340,1002,82.0,125,True,100.0,10469,1160 Burke Ave
EDENWALD,2035,,Under Construction,2015,EDENWALD,NY005000570,2033,99.0,-2,True,100.0,10466,1151 E 229th St
EDENWALD,2035,,Under Construction,2016,EDENWALD,NY005000570,2033,99.0,-2,True,100.0,10466,1151 E 229th St
EDENWALD,2035,,Under Construction,2017,EDENWALD,NY005000570,2033,99.0,-2,True,100.0,10466,1151 E 229th St
EDENWALD,2035,,Under Construction,2018,EDENWALD,NY005000570,2033,99.0,-2,True,100.0,10466,1151 E 229th St
EDENWALD,2035,,Under Construction,2019,EDENWALD,NY005000570,2033,99.0,-2,True,100.0,10466,1151 E 229th St
EDENWALD,2035,,Under Construction,2020,EDENWALD,NY005000570,2033,98.0,-2,True,100.0,10466,1151 E 229th St
EDENWALD,2035,,Under Construction,2021,EDENWALD,NY005000570,2034,98.0,-1,True,100.0,10466,1151 E 229th St
EDENWALD,2035,,Under Construction,2022,EDENWALD,NY005000570,2034,95.0,-1,True,100.0,10466,1151 E 229th St
HARLEM RIVER,577,,Under Construction,2015,HARLEM RIVER,NY005010030,1261,96.0,684,False,100.0,10032,1945 Amsterdam Ave
HARLEM RIVER,577,,Under Construction,2016,HARLEM RIVER,NY005010030,1261,97.0,684,False,100.0,10032,1945 Amsterdam Ave
HARLEM RIVER,577,,Under Construction,2017,HARLEM RIVER,NY005010030,1261,98.0,684,False,100.0,10032,1945 Amsterdam Ave
HARLEM RIVER,577,,Under Construction,2018,HARLEM RIVER,NY005010030,1261,98.0,684,False,100.0,10032,1945 Amsterdam Ave
HARLEM RIVER,577,,Under Construction,2019,HARLEM RIVER,NY005010030,1261,97.0,684,False,100.0,10032,1945 Amsterdam Ave
HARLEM RIVER,577,,Under Construction,2020,HARLEM RIVER,NY005010030,1261,96.0,684,False,100.0,10032,1945 Amsterdam Ave
HARLEM RIVER,577,,Under Construction,2021,HARLEM RIVER,NY005010030,1247,93.0,670,False,100.0,10032,1945 Amsterdam Ave
HARLEM RIVER,577,,Under Construction,2022,HARLEM RIVER,NY005010030,557,89.0,-20,True,100.0,10032,1945 Amsterdam Ave
LINDEN,1586,,Construction Complete,2015,LINDEN,NY005020950,1235,96.0,-351,True,100.0,11207,215 Cozine Ave
LINDEN,1586,,Construction Complete,2016,LINDEN,NY005020950,1235,93.0,-351,True,100.0,11207,215 Cozine Ave
LINDEN,1586,,Construction Complete,2017,LINDEN,NY005020950,1231,91.0,-355,True,100.0,11207,215 Cozine Ave
LINDEN,1586,,Construction Complete,2018,LINDEN,NY005020950,1231,88.0,-355,True,100.0,11207,215 Cozine Ave
LINDEN,1586,,Construction Complete,2019,LINDEN,NY005020950,1231,85.0,-355,True,100.0,11207,215 Cozine Ave
LINDEN,1586,,Construction Complete,2020,LINDEN,NY005020950,1231,83.0,-355,True,100.0,11207,215 Cozine Ave
MANHATTANVILLE,1272,,Under Construction,2015,MANHATTANVILLE,NY005020810,1083,99.0,-189,True,100.0,10027,1430 Amsterdam Ave
MANHATTANVILLE,1272,,Under Construction,2016,MANHATTANVILLE,NY005020810,1082,98.0,-190,True,100.0,10027,1430 Amsterdam Ave
MANHATTANVILLE,1272,,Under Construction,2017,MANHATTANVILLE,NY005020810,1082,97.0,-190,True,100.0,10027,1430 Amsterdam Ave
MANHATTANVILLE,1272,,Under Construction,2018,MANHATTANVILLE,NY005020810,1068,98.0,-204,True,100.0,10027,1470 Amsterdam Ave
MANHATTANVILLE,1272,,Under Construction,2019,MANHATTANVILLE,NY005020810,1068,98.0,-204,True,100.0,10027,1470 Amsterdam Ave
MANHATTANVILLE,1272,,Under Construction,2020,MANHATTANVILLE,NY005020810,1068,98.0,-204,True,100.0,10027,1470 Amsterdam Ave
MANHATTANVILLE,1272,,Under Construction,2021,MANHATTANVILLE,NY005020810,1068,97.0,-204,True,100.0,10027,1470 Amsterdam Ave
MANHATTANVILLE,1272,,Under Construction,2022,MANHATTANVILLE,NY005020810,1068,96.0,-204,True,100.0,10027,1470 Amsterdam Ave
MANHATTANVILLE,1272,,Under Construction,2023,MANHATTANVILLE,NY005020810,1068,96.0,-204,True,100.0,10027,1470 Amsterdam Ave
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2015,OCEAN BAY (BAYSIDE),NY005010980,1806,97.0,411,True,75.6,11691,441 Beach 51st St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2016,OCEAN BAY (BAYSIDE),NY005010980,1806,,411,True,75.6,11691,441 Beach 51st St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2017,OCEAN BAY (BAYSIDE),NY005010980,418,98.0,-977,False,75.6,11692,306 Beach 56th St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2018,OCEAN BAY (BAYSIDE),NY005010980,418,98.0,-977,False,75.6,11692,306 Beach 56th St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2019,OCEAN BAY (BAYSIDE),NY005010980,418,96.0,-977,False,75.6,11692,306 Beach 56th St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2020,OCEAN BAY (BAYSIDE),NY005010980,418,98.0,-977,False,75.6,11692,306 Beach 56th St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2021,OCEAN BAY (BAYSIDE),NY005010980,418,97.0,-977,False,75.6,11692,306 Beach 56th St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2022,OCEAN BAY (BAYSIDE),NY005010980,417,96.0,-978,False,75.6,11692,306 Beach 56th St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2023,OCEANBAY APARTMENTS (OCEANSIDE),NY005010980,417,95.0,-978,False,73.7,11692,306 Beach 56th St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2024,OCEANBAY APARTMENTS (OCEANSIDE),NY005010980,417,91.0,-978,False,73.7,11692,306 Beach 56th St
OCEAN BAY APARTMENTS (BAYSIDE),1395,,Construction Complete,2025,OCEANBAY APARTMENTS (OCEANSIDE),NY005010980,417,88.0,-978,False,73.7,11692,306 Beach 56th St
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2015,OCEAN HILL APTS,NY005011620,361,99.0,125,False,83.3,11233,33 Saratoga Ave
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2016,OCEAN HILL APTS,NY005011620,361,99.0,125,False,83.3,11233,33 Saratoga Ave
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2017,OCEAN HILL APTS,NY005011620,361,99.0,125,False,83.3,11233,33 Saratoga Ave
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2018,OCEAN HILL APTS,NY005011620,361,99.0,125,False,83.3,11233,33 Saratoga Ave
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2019,OCEAN HILL APTS,NY005011620,361,98.0,125,False,83.3,11233,33 Saratoga Ave
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2020,OCEAN HILL APTS,NY005011620,361,99.0,125,False,83.3,11233,33 Saratoga Ave
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2021,OCEAN HILL APTS,NY005011620,361,98.0,125,False,83.3,11233,33 Saratoga Ave
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2022,OCEAN HILL APTS,NY005011620,361,96.0,125,False,83.3,11233,33 Saratoga Ave
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2023,OCEAN HILL APTS,NY005011620,361,95.0,125,False,83.3,11233,33 Saratoga Ave
OCEAN HILL APARTMENTS,236,2025-09-25,Under Construction,2024,OCEAN HILL APTS,NY005011620,361,93.0,125,False,83.3,11233,33 Saratoga Ave
SACK WERN,411,,Under Construction,2015,SACK-WERN HOUSES,NY005012800,811,100.0,400,False,72.0,10473,710 Croes Ave
SACK WERN,411,,Under Construction,2016,SACK-WERN HOUSES,NY005012800,811,99.0,400,False,72.0,10473,710 Croes Ave
SACK WERN,411,,Under Construction,2017,SACK-WERN HOUSES,NY005012800,811,99.0,400,False,72.0,10473,710 Croes Ave
SACK WERN,411,,Under Construction,2018,SACK-WERN HOUSES,NY005012800,812,99.0,401,False,72.0,10473,750 Croes Ave
SACK WERN,411,,Under Construction,2019,SACK-WERN HOUSES,NY005012800,812,98.0,401,False,72.0,10473,750 Croes Ave
SACK WERN,411,,Under Construction,2020,SACK-WERN HOUSES,NY005012800,812,99.0,401,False,72.0,10473,750 Croes Ave
SACK WERN,411,,Under Construction,2021,SACK-WERN HOUSES,NY005012800,812,98.0,401,False,72.0,10473,750 Croes Ave
SACK WERN,411,,Under Construction,2022,SACK-WERN HOUSES,NY005012800,812,96.0,401,False,72.0,10473,1710 Lafayette Ave
SACK WERN,411,,Under Construction,2023,SACK-WERN HOUSES,NY005012800,811,93.0,400,False,72.0,10473,1710 Lafayette Ave
SAMUEL (CITY),664,,Under Construction,2015,FREDERICK SAMUEL (CITY),NY005023770,576,99.0,-88,True,100.0,10030,2441 A C Powell Blvd
SAMUEL (CITY),664,,Under Construction,2016,FREDERICK SAMUEL (CITY),NY005023770,576,97.0,-88,True,100.0,10030,2441 A C Powell Blvd
SAMUEL (CITY),664,,Under Construction,2017,FREDERICK SAMUEL (CITY),NY005023770,576,96.0,-88,True,100.0,10030,2441 A C Powell Blvd
SAMUEL (CITY),664,,Under Construction,2018,FREDERICK SAMUEL (CITY),NY005023770,559,98.0,-105,True,100.0,10030,2441 A C Powell Blvd
SAMUEL (CITY),664,,Under Construction,2019,FREDERICK SAMUEL (CITY),NY005023770,559,97.0,-105,True,100.0,10030,2441 A C Powell Blvd
SAMUEL (CITY),664,,Under Construction,2020,FREDERICK SAMUEL (CITY),NY005023770,559,97.0,-105,True,100.0,10030,2441 A C Powell Blvd
SAMUEL (CITY),664,,Under Construction,2021,FREDERICK SAMUEL (CITY),NY005023770,559,96.0,-105,True,100.0,10030,2441 A C Powell Blvd
SAMUEL (CITY),664,,Under Construction,2022,FREDERICK SAMUEL (CITY),NY005023770,559,94.0,-105,True,100.0,10030,2441 Ac Powell Blvd
SAMUEL (CITY),664,,Under Construction,2023,FREDERICK SAMUEL (CITY),NY005023770,559,92.0,-105,True,100.0,10030,2441 Ac Powell Blvd
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2015,TWIN PARKS WEST SITES 1&2,NY005012270,769,98.0,457,False,100.0,10458,365 E 183rd St
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2016,TWIN PARKS WEST SITES 1&2,NY005012270,769,98.0,457,False,100.0,10458,365 E 183rd St
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2017,TWIN PARKS WEST SITES 1&2,NY005012270,769,98.0,457,False,100.0,10458,365 E 183rd St
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2018,TWIN PARKS WEST SITES 1&2,NY005012270,769,59.0,457,False,100.0,10458,365 E 183rd St
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2019,TWIN PARKS WEST SITES 1&2,NY005012270,458,98.0,146,False,100.0,10457,2111 Lafontaine Ave
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2020,TWIN PARKS WEST SITES 1&2,NY005012270,458,98.0,146,False,100.0,10457,2111 Lafontaine Ave
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2021,TWIN PARKS WEST SITES 1&2,NY005012270,458,98.0,146,False,100.0,10457,2111 Lafontaine Ave
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2022,TWIN PARKS WEST SITES 1&2,NY005012270,458,97.0,146,False,100.0,10457,2111 Lafontaine Ave
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2023,TWIN PARKS EAST (SITE 9),NY005012270,458,94.0,146,False,72.3,10457,2111 Lafontaine Ave
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2024,TWIN PARKS EAST (SITE 9),NY005012270,458,90.0,146,False,72.3,10457,2111 Lafontaine Ave
WEST BRIGHTON I,490,,Under Construction,2015,WEST BRIGHTON I & II,NY005010130,633,89.0,143,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2016,WEST BRIGHTON I & II,NY005010130,632,89.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2017,WEST BRIGHTON I & II,NY005010130,632,90.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2018,WEST BRIGHTON I & II,NY005010130,632,89.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2019,WEST BRIGHTON I & II,NY005010130,632,88.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2020,WEST BRIGHTON I & II,NY005010130,632,88.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2021,WEST BRIGHTON I & II,NY005010130,632,87.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2022,WEST BRIGHTON I & II,NY005010130,633,84.0,143,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2023,WEST BRIGHTON I & II,NY005010130,633,83.0,143,True,90.9,10310,820 Henderson Ave
WILLIAMSBURG,1621,,Construction Complete,2015,WILLIAMSBURG,NY005000020,1620,99.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2016,WILLIAMSBURG,NY005000020,1620,99.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2017,WILLIAMSBURG,NY005000020,1620,99.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2018,WILLIAMSBURG,NY005000020,1620,98.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2019,WILLIAMSBURG,NY005000020,1620,95.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2020,WILLIAMSBURG,NY005000020,1621,95.0,0,True,100.0,11206,125 Ten Eyck St
